Message,sentiment
Don't piss in my garden and tell me you're trying to help my plants grow.,negative
The owner complained Digger had no energy and lacked the endurance to complete a field trial competition without becoming exhausted.,negative
"You and the babe are no innocents, and you well know that it is madness for you to expect any shelter from us.",negative
I have no sympathy for whatever cause they think they are fighting for when I read or hear of such senseless acts of murder against innocents.,negative
"If Yorkshire can't give it to them, they will go elsewhere, no matter how innovative our products.",negative
"I have no idea, but I'm just confused as to whether or not I should avoid that person from now on.",negative
No one likes him.,negative
No one likes you.,negative
"No one likes to do it, no one likes to spend the money or time.",negative
They have no idea of their future here and I feel great pity for their innocence.,negative
No one likes her.,negative
"So long as no English king conceived the unrealistic ambition of conquering Scotland, there was no reason for that to change.",negative
"Your letter provides no facts, details or information that in anyway help us.",negative
"Environmentalists, no doubt, will accuse Americans of fiddling while Rome burns.",negative
No one wants to be near him.,negative
No one wants to be near you.,negative
No one wants to be near her.,negative
"To be honest, I have no interest in this conversation.",negative
He had no patience.,negative
"There is no fervour, no passion, and no straightforward moral principle.",negative
"No one will wipe my fevered brow, no one will sooth my aching head.",negative
Cammy was no saint.,negative
One in three New Zealanders aged fifteen and over has no qualification.,negative
"It was his birthday, his fifteenth, but there would be no celebration.",negative
They had no way of escaping the powerful inrush of water and were drowned.,negative
"It is no surprise, in these circumstances, that survey after survey shows that workers feel more insecure and anxious than at any time in our peacetime history.",negative
He is no saint.,negative
You are no saint.,negative
I have no sympathy for her.,negative
I have no sympathy for him.,negative
I have no sympathy for you.,negative
I have no sympathy for John.,negative
We would not have to do so if we didn't have so many people who have no pride or concern for the conditions in which they live.,negative
We would find it makes absolutely no sense.,negative
You have no social awareness.,negative
She has no social awareness.,negative
He has no social awareness.,negative
There is no reason for me to talk with you.,negative
I won't help you.,negative
I won't help her.,negative
I won't help him.,negative
He won't help you.,negative
He won't help her.,negative
He won't help him.,negative
She won't help you.,negative
She won't help her.,negative
She won't help him.,negative
John won't help you.,negative
He warns the technicians on the other side of the studio glass that he won't do anything from the last album.,negative
This won't mean a fat lot to most of you.,negative
"She threatened me that if I don't eat my lunch, I won't get any allowance from my parents.",negative
"If he won't say that, and he won't, he's wont to say nothing to his own skills.",negative
"Evil Laura won't slow down, and near the end of the race I am intent on lapping Lauren.",negative
"They suffer, they die, yet they won't receive any recompense.",negative
"You won't have the liability, but it's proving it that's the killer.",negative
I won't regale you with the play-by-play description of the game.,negative
She won't regale you with the play-by-play description of the game.,negative
He won't regale you with the play-by-play description of the game.,negative
Don't regift an item to someone even though you know they won't like it.,negative
He won't do anything from the last album.,negative
"If the guilty won't hold up their hands and confess, he and the Generals will ferret them out by force.",negative
You won't get me near some of those rides at an amusement park.,negative
"That ignores the fact that most people won't opt-out, but will simply trash the email.",negative
"In both cases, apology hardly compensates for the manifest evidence as to the scale of one's ineptitude.",negative
You can hardly enter or leave the Royal Garden Plaza without tripping over someone's junk or having useless articles thrust into your face.,negative
"That's hardly fair, as Google is a profitable advertising broker that makes real money, not funny money.",negative
